player_id,birth_year,birth_month,image_url
151261,2005,3,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=374811&width=240&height=305
151674,2005,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=980901&width=240&height=305
151792,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=569073&width=240&height=305
151923,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=992836&width=240&height=305
151958,2005,11,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=628686&width=240&height=305
152254,2006,9,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=576973&width=240&height=305
152256,2006,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=994792&width=240&height=305
152262,2005,8,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=988775&width=240&height=305
152275,2005,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=420495&width=240&height=305
152418,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=574975&width=240&height=305
152456,2005,8,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=406875&width=240&height=305
152460,2005,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=406885&width=240&height=305
152473,2006,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=512829&width=240&height=305
152474,2006,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=512827&width=240&height=305
152555,2005,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=588930&width=240&height=305
152577,2005,3,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=571668&width=240&height=305
152588,2005,11,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=562663&width=240&height=305
152705,2005,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=984106&width=240&height=305
152709,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=562649&width=240&height=305
152807,2006,3,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=363792&width=240&height=305
152815,2006,8,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=598552&width=240&height=305
152855,2005,9,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=530313&width=240&height=305
152888,2006,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=494913&width=240&height=305
152920,2006,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=588841&width=240&height=305
152936,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=578574&width=240&height=305
152943,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=507002&width=240&height=305
152972,2005,5,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=571648&width=240&height=305
152974,2005,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=571667&width=240&height=305
153003,2006,6,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=578153&width=240&height=305
153018,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=566656&width=240&height=305
153155,2006,9,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=630737&width=240&height=305
153157,2006,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=562944&width=240&height=305
153160,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=569875&width=240&height=305
153163,2006,10,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=567064&width=240&height=305
153169,2005,1,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=632617&width=240&height=305
153172,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=507026&width=240&height=305
153207,2005,6,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=573663&width=240&height=305
153212,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=396255&width=240&height=305
153214,2006,3,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=577489&width=240&height=305
153264,2006,6,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=577550&width=240&height=305
153326,2005,9,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=351387&width=240&height=305
153354,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=572875&width=240&height=305
153383,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=629577&width=240&height=305
153398,2005,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=633090&width=240&height=305
153399,2005,10,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=232454&width=240&height=305
153414,2006,10,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=1003502&width=240&height=305
153441,2006,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=568454&width=240&height=305
153443,2006,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=351037&width=240&height=305
153445,2006,7,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=953978&width=240&height=305
153457,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=562651&width=240&height=305
153458,2006,5,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=562657&width=240&height=305
153463,2005,11,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=487655&width=240&height=305
153465,2006,2,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=994615&width=240&height=305
153567,2005,4,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=525425&width=240&height=305
153593,2006,10,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=533264&width=240&height=305
153679,2005,5,https://www.football.org.il/ImageServer/GetImage.ashx?type=2&id=572697&width=240&height=305
