team_id,team_name,field_id,field_name,address,city,lat,lon,geocode_query,precision
1927,מ.ס. הפועל לוד 'ניקי מיכאלי',1123,לוד סינטטי חדש,דרך הרמ''א 2 לוד,לוד,31.933597,34.889205,דרך הרמ''א  לוד,street
1928,מ.ס. הפועל לוד בני רגב,1123,לוד סינטטי חדש,דרך הרמ''א 2 לוד,לוד,31.933597,34.889205,דרך הרמ''א  לוד,street
1929,מ.ס. הפועל לוד בני רגב,1123,לוד סינטטי חדש,דרך הרמ''א 2 לוד,לוד,31.933597,34.889205,דרך הרמ''א  לוד,street
1930,הפועל טירת כרמל,32,טירת כרמל,הרב משה מרדכי 7 טירת כרמל,טירת כרמל,32.76025,34.96874,טירת כרמל,locality
1939,מ.כ.ע. אריאל,255,אריאל,רמת הגולן 1 אריאל,אריאל,32.1049634,35.1989244,רמת הגולן 1 אריאל,street
1945,"הפועל רמת ישראל ""חיים""",1274,תל אביב ספורטק דרום 2 סינטטי,שתולים 82 תל אביב יפו,יפו,32.0458964,34.7949441,שתולים 82 תל אביב יפו,street
1946,הפועל רמת ישראל,1274,תל אביב ספורטק דרום 2 סינטטי,שתולים 82 תל אביב יפו,יפו,32.0458964,34.7949441,שתולים 82 תל אביב יפו,street
1947,הפועל רמת ישראל,1274,תל אביב ספורטק דרום 2 סינטטי,שתולים 82 תל אביב יפו,יפו,32.0458964,34.7949441,שתולים 82 תל אביב יפו,street
1971,"מ.כ. מתנ""ס אופקים",133,אופקים,דוד בוזגלו 2 אופקים,אופקים,31.3050605,34.6277205,דוד בוזגלו 2 אופקים,street
1981,צעירי סכנין,981,סכנין אימונים,אלריאדה סח'נין,סח’נין,32.86506,35.29771,סחנין,locality
1982,צעירי סכנין,981,סכנין אימונים,אלריאדה סח'נין,סח’נין,32.86506,35.29771,סחנין,locality
1983,מכבי אחווה שעב,162,שעב,אלביאדר 10 שעב,שעב,32.89014,35.23885,שעב,locality
1989,מ.כ. צעירי עילוט,331,נצרת עילוט אימונים סינטטי,עילוט,עילוט,32.718281,35.2612603,עילוט,street
1997,אהלי טמרה,254,טמרה,טמרה,טמרה,32.85301,35.1987,טמרה,locality
2004,הפ מ. יהודה,197,פתח תקוה מחנה יהודה,הנרייטה סולד 46 פתח תקווה,פתח תקווה,32.0766111,34.8933795,הנרייטה סולד 46 פתח תקווה,street
2015,מכבי נוג'ידאת אחמד,1311,בועיינה נוג'ידאת מזרחי חדש,אלזיתון 1 בועיינה נוג'יידאת,נוג’ידאת,32.81136,35.37431,נוגידאת,locality
2030,הפועל כפר סבא מערב,282,כפר סבא אימונים תחתון (סינטטי),התוכנה 9 כפר סבא,כפר סבא,32.177971,34.9258419,התוכנה 9 כפר סבא,street
2041,הפ' בארי אשכול,132,נופי הבשור מועצה אזורית אשכול,מגן,מגן,31.2990681,34.4289248,מגן,street
2059,הפועל חיפה 2,3,קרית חיים,האיצטדיון 1 חיפה,חיפה,32.82305,35.058868,האיצטדיון  חיפה,street
2061,"הפועל ר""ג ""רונן פרץ""",181,רמת גן השקמה,אחד העם 8 רמת גן,רמת גן,32.08227,34.81065,רמת גן,locality
2065,ה.מ. יהודה סתיו חלפון צו פיוס,197,פתח תקוה מחנה יהודה,הנרייטה סולד 46 פתח תקווה,פתח תקווה,32.0766111,34.8933795,הנרייטה סולד 46 פתח תקווה,street
2068,"הפועל ק""ש",75,צפת,האחד עשר צפת,צפת,32.9589421,35.5008402,האחד עשר צפת,street
2072,הפועל רהט,562,רהט הפועל רהט,אלח'זאן 1 רהט,רהט,31.381991,34.775125,אלח'זאן  רהט,street
2085,"הפועל ב""ש",1081,באר שבע וסרמיל 4,אצ''ל 6 באר שבע,באר שבע,31.2720302,34.7777836,אצ''ל 6 באר שבע,street
2087,הפועל עכו,1167,עכו הפועל עכו חדש,שלום הגליל 1 עכו,עכו,32.9195753,35.0920147,שלום הגליל 1 עכו,street
2092,הפ' ע.ס. אבו גוש מבשרת ציון,120,מבשרת ציון,מבוא טללים 1 מבשרת ציון,מבשרת ציון,31.8009752,35.1444388,מבוא טללים 1 מבשרת ציון,street
